package	version	architecture	installed_size_kib	file_size_bytes	sha256	filename
libxfont2	1:2.0.6-1+b3	amd64	252	132484	f24ea08c923d68c7ff7c16286f2e13db54ba37c542ddc500e89b52dde479bc54	libxfont2_1%3a2.0.6-1+b3_amd64.deb
libxi6	2:1.8.2-1	amd64	143	78896	093d0903f35bb7a9f6815180ee040e6951fecf9b66c128cd72f064710210606e	libxi6_2%3a1.8.2-1_amd64.deb
libxkbcommon0	1.7.0-2	amd64	317	112700	f75ee544f55acc6a271debfab3ea4ae0458afc89d81cfe1a71137e07d4895b86	libxkbcommon0_1.7.0-2_amd64.deb
libxkbfile1	1:1.1.0-1+b4	amd64	187	76516	989b61e0eb7f1f99d0e969a5957e9a857a95941d5c0e86d5e2b502008b4ac28e	libxkbfile1_1%3a1.1.0-1+b4_amd64.deb
libxml2	2.12.7+dfsg+really2.9.14-2.1+deb13u3	amd64	1916	699724	e0c6b63ce4602a036a526f60fe5e6c1586710688058d98fc1001b9b3147b7efd	libxml2_2.12.7+dfsg+really2.9.14-2.1+deb13u3_amd64.deb
libxmu6	2:1.1.3-3+b4	amd64	139	58972	cfdf1dee8f9abd87f503222fc8b04a30ce820fb1255247b7c3a28ff9c244431a	libxmu6_2%3a1.1.3-3+b4_amd64.deb
libxpm4	1:3.5.17-1+deb13u1	amd64	113	55912	d2f8933b552e7a282bbc32bc7545628195c4a3692a20ad0e232cc5fee9130790	libxpm4_1%3a3.5.17-1+deb13u1_amd64.deb
libxrandr2	2:1.5.4-1+b3	amd64	85	36312	11e3490de93a8bbee3daba719cb8e1325a26fb3c125525c34bdcb7deb05eb9b2	libxrandr2_2%3a1.5.4-1+b3_amd64.deb
libxrender1	1:0.9.12-1	amd64	72	27896	9d042dfd5e613be1e02e6ddd0c5c4adef19c5eb08f6db838c2eba672c496dca4	libxrender1_1%3a0.9.12-1_amd64.deb
libxshmfence1	1.3.3-1	amd64	36	10884	7b339e9e5b2349723d35af4df89bcc7aa456bbdf8ba1754358f9b44c3fe1f964	libxshmfence1_1.3.3-1_amd64.deb
libxt6t64	1:1.2.1-1.2+b2	amd64	490	188232	a1f4557c03113681ee24863495adc244cecec95fe3ab7256ce76e87320157300	libxt6t64_1%3a1.2.1-1.2+b2_amd64.deb
libxxf86vm1	1:1.1.4-1+b4	amd64	48	19320	f9f8487e536293e7ecf91fe7feb14e97e02a3aa652e207c661442dce775d3b14	libxxf86vm1_1%3a1.1.4-1+b4_amd64.deb
libz3-4	4.13.3-1	amd64	27142	8560036	71383373523ef62d47eccf660cf6535c3febcbb3f88e54cb7a43124014b57359	libz3-4_4.13.3-1_amd64.deb
mesa-libgallium	25.0.7-2+deb13u1	amd64	41615	9630224	3e610f29321cdcc61337c86e6b4031ff60f0c9915fe19e6a862ac06480620ff4	mesa-libgallium_25.0.7-2+deb13u1_amd64.deb
x11-common	1:7.7+24+deb13u1	all	275	216864	57a981938506b26dc552f19cafeaa8c04e9b59dc7508509151f8507a9d4e5f24	x11-common_1%3a7.7+24+deb13u1_all.deb
x11-xkb-utils	7.7+9	amd64	489	158552	745e29c79bb435d057cdbf8bb59a35fa33e818e566cb754674f44d381ccd4317	x11-xkb-utils_7.7+9_amd64.deb
xfonts-encodings	1:1.0.4-2.2	all	667	577104	56143f317d241b6dee0275aa1066df936a776810d3bb83fe58563965d9bbe3d3	xfonts-encodings_1%3a1.0.4-2.2_all.deb
xfonts-scalable	1:1.0.3-1.3	all	469	306272	0371d7944a7c972c715efa1e7635b636320508f433777ed575e5281de61f20cf	xfonts-scalable_1%3a1.0.3-1.3_all.deb
xfonts-utils	1:7.7+7	amd64	429	93340	36e77ba3fd25a42d4b807808de93eba87c0bd53981ee94d27da4cee502387f35	xfonts-utils_1%3a7.7+7_amd64.deb
xkb-data	2.42-1	all	6911	789736	196ff18533382f64e057ea49df2bb486bd4275a4cc0917361edb560b8756dada	xkb-data_2.42-1_all.deb
xserver-common	2:21.1.16-1.3+deb13u3	all	2470	2410088	dc1d37303c103b23c40cd1ea694c5c6561e0e8dc1734a73c7a0ae0ef080e7fcc	xserver-common_2%3a21.1.16-1.3+deb13u3_all.deb
xvfb	2:21.1.16-1.3+deb13u3	amd64	4525	3198040	365da2b6c93339f34337c434a9489bb6411a240fa47b9f49693d3091745f28c2	xvfb_2%3a21.1.16-1.3+deb13u3_amd64.deb
git	1:2.47.3-0+deb13u1	amd64	49154	8861572	3e35662fd5c46add561703e54031a1d8ad9df45811927689f0a51122b13be722	git_2.47.3-0+deb13u1_amd64.deb
git-man	1:2.47.3-0+deb13u1	all	2251	2204692	b58306b60e1dff920e1e18bc7e1e499f2ef75184190ab3d98657b165969bf7c9	git-man_2.47.3-0+deb13u1_all.deb
libcurl3t64-gnutls	8.14.1-2+deb13u4	amd64	997	384336	351bf3bb1c816c1d88900cbfe59dc79433f20fb962947d78313028a00f97c856	libcurl3t64-gnutls_8.14.1-2+deb13u4_amd64.deb
liberror-perl	0.17030-1	all	71	26872	06110a972bdc52f6c6d6615dddbe97f836c61d0e36c685ef4107c2eaa81f871f	liberror-perl_0.17030-1_all.deb
libgdbm-compat4t64	1.24-2	amd64	75	50280	2cbd43cf2dfbf57ff48188b5d79d29cf7ea8f0dedaa61ab0bcc02eceff50ea01	libgdbm-compat4t64_1.24-2_amd64.deb
